10.94	,0.66,	0.015231,	428.1,	10.357
3.52	,0.23,	0.019617,	368.1,	11.168
3.33	,0.7	,0.027103	,	188.8,	11.019
1.55	,1.29,	0.020598,	143.7,	10.523
10.12	,0.43,	0.022639,	394.6,	11.073
8.6		,0.32	,0.015698	,	253.6,	10.536
6.04	,0.44,	0.018109,	381.1,	10.944
7.3		,0.27	,0.020067	,	365.1,	11.15
9.8		,0.31	,0.035144	,	372.4,	11.347
3.36	,0.52,	0.022903,	267.1,	11.054
1.86	,0.09,	0.031229,	0	,	11.397
17.68	,0.5	,0.015921	,	430.3,	10.774
10.52	,0.67,	0.032472,	179.1,	11.129
30.17	,0.68,	0.017926,	424.3,	10.808
15.09	,0.76,	0.015607,	421.1,	10.405
6.33	,0.43,	0.01914	,	454.4,	9.732
74.26	,1.52,	0.003793,	312.3,	10.089
16.33	,0.43,	0.021883,	331.3,	10.941
6.87	,0.47,	0.023343,	297.5,	10.934
5.04	,0.47,	0.017559,	379.4,	10.576
17.53	,0.74,	0.017696,	321.7,	10.369
11.59	,0.26,	0.011908,	0	,	10.737
10.01	,0.56,	0.020384,	404.6,	10.798
9.29	,0.39,	0.018813,	374.9,	10.731
8.56	,0.36,	0.015938,	320.6,	11.163
11.39	,0.47,	0.02471	,	378.2,	10.778
3.36	,0.58,	0.018753,	278.6,	10.785
1.65	,0.2	,0.042563	,	290.4,	11.716
10.38	,0.65,	0.019157,	380.2,	11.186
6.99	,0.92,	0.013122,	586.6,	9.581
16.05	,0.7	,0.01486	,	343.3,	10.829
4.42	,0.98,	0.01862	,	225.9,	10.906
18.48	,0.9	,0.013079	,	269.6,	9.644
102.5	,1.23,	0.002979,	231.9,	10.471
5.52	,0.85,	0.021351,	193.7,	10.669
4.28	,0.48,	0.028924,	202.6,	10.403
4.28	,0.59,	0.017599,	232.6,	10.564
25.06	,0.72,	0.010807,	443.6,	10.547
14.59	,0.61,	0.01379	,	291.5,	10.933
4.15	,0.92,	0.016255,	178.2,	10.746
4.14	,0.48,	0.025898,	275.8,	11.179
2.99	,0.27,	0.018509,	314	,	11.339
3.57	,0.28,	0.059641,	431	,	11.907
6.12	,0.44,	0.039367,	572.9,	11.678
15.19	,0.74,	0.016858,	277.4,	10.465
6.98	,1.23,	0.013709,	187.2,	9.762
47.33	,0.69,	0.009354,	250	,	11.042
11.99	,0.42,	0.021065,	372.2,	10.662
7.67	,0.72,	0.017199,	199.9,	10.529
2.77	,0.57,	0.0431	,	190.7,	11.794
14.89	,0.43,	0.01022	,	332.8,	10.603
18.93	,0.47,	0.010781,	328.9,	10.604
10.24	,0.79,	0.008342,	268.1,	9.848
4.03	,0.46,	0.027102,	220.3,	11.302
2.65	,0.26,	0.04217	,	295	,	12.049
2.46	,0.14,	0.015921,	0	,	10.43
4.97	,0.45,	0.021702,	460.1,	11.229
10.1	,0.46,	0.030761,	341	,	11.975
7.7		,0.21	,0.023299	,	339.6,		11.228
7.47	,0.5	,0.018606	,	488.6,		10.732
2.12	,0.44,	0.016541,	400.4,	10.618
18.17	,0.44,	0.013693,	197	,	8.981
21.8	,0.89,	0.009735,	293.5,	11.058
14.64	,0.7	,0.016308	,	217	,	10.362
10.41	,0.48,	0.016785,	315	,	10.413
11.74	,1.05,	0.010337,	207.9,	10.215
18.63	,0.87,	0.011881,	247.5,	10.233
21.63	,0.71,	0.013746,	328.5,	10.418
15.86	,0.43,	0.032863,	578.4,	10.24
3.93	,0.46,	0.015728,	293.4,	10.422
2.74	,0.42,	0.012999,	237.6,	10.891
8.45	,0.32,	0.029284,	380.9,	11.327
2.91	,0.37,	0.040191,	281.6,	11.506
10.71	,0.97,	0.013356,	237.1,	10.321
10.99	,1.36,	0.018126,	449.4,	11.986
15.45	,0.66,	0.012806,	317.5,	10.265
3.13	,0.62,	0.015808,	266.7,	10.728
8.51	,0.35,	0.02449	,	269.6,	11.015
11.05	,0.93,	0.010885,	239.6,	10.211
7.26	,0.3	,0.027012	,	355.3,	11.095
15.9	,0.3	,0.02448	,	640.3,	11.489
5.27	,0.35,	0.022706,	278	,	10.615
24.53	,0.69,	0.018349,	495.6,	10.712
12.75	,1	,0.017335	,	244.3,	11.045
6.36	,0.5	,0.04281	,	453.5,	12.215
6.15	,1	,0.020781	,	161.2,	10.935
13.27	,0.46,	0.016281,	299.7,	10.566
7.29	,1.07,	0.014043,	221	,	11.11
8.83	,0.49,	0.020652,	317.6,	10.611
12.54	,0.29,	0.017345,	234.9,	10.223
26.72	,0.48,	0.018176,	348.3,	11.493
7.82	,0.81,	0.015611,	265.5,	10.843
7.25	,0.12,	0.013226,	162.2,	10.346
8.24	,0.5	,	0.0192	,	359.4,	10.445
14.52	,0.74,	0.0139	,	386.7,	10.563
4.07	,0.56,	0.019613,	302.4,	10.02
1.31	,0.13,	0.036098,	0	,	11.451
0.75	,0.11,	0.042996,	0	,	11.741
10.05	,0.51,	0.017361,	257	,	10.651
13.83	,0.82,	0.016151,	166.6,	10.969
10.54	,0.62,	0.017401,	221.3,	9.717
27.86	,0.75,	0.011415,	269.7,	10.31
9.99	,0.51,	0.021391,	378.4,	11.009
13.79	,0.33,	0.016317,	252.4,	11.022
2.45	,0.32,	0.044601,	277.4,	11.602
4.25	,0.5	,0.027422	,	317.5,	11.261
37.6	,1.01,	0.005365,	205.2,	10.054
7.01	,0.54,	0.016531,	316.3,	10.57
5.38	,0.46,	0.024444,	334.3,	10.566
4.28	,0.48,	0.028924,	202.6,	10.403
8.94	,0.67,	0.017139,	229.6,	10.364
23.54	,0.28,	0.014267,	414.1,	9.665
10.26	,0.24,	0.018483,	340.5,	10.867